timestamp,source,action,details
1777891704.2338996,USB_RELAY,on,relay=3;response=off 3  >
1777891704.2471712,USB_RELAY,off,relay=3;response=relay on
1777891707.2507212,USB_RELAY,on,relay=3;response=3  >relay
1777891707.262902,USB_RELAY,off,relay=3;response=off 3  >
1777891710.2687104,USB_RELAY,on,relay=3;response=relay on
1777891710.2811992,USB_RELAY,off,relay=3;response=3  >relay
1777891713.2845964,USB_RELAY,on,relay=3;response=off 3  >
1777891713.296324,USB_RELAY,off,relay=3;response=relay on
1777891716.3725977,STM_PIN,high,pin=7
1777891716.3725977,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777891725.9690762,STM_PIN,low,pin=7
1777891725.9690762,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777891726.0267608,USB_RELAY,on,relay=3;response=3  >relay
1777891726.0378177,USB_RELAY,off,relay=3;response=off 3  >
1777891732.0782597,STM_PIN,low,pin=6
1777891732.0782597,POLARITY,cool,pin=6
1777891732.2088215,STM_PIN,high,pin=7
1777891732.2088215,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777892032.078099,STM_PIN,low,pin=7
1777892032.092479,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777892032.1560888,USB_RELAY,on,relay=3;response=relay on
1777892032.1685164,USB_RELAY,off,relay=3;response=3  >relay
1777892035.1728125,USB_RELAY,on,relay=3;response=off 3  >
1777892035.1839254,USB_RELAY,off,relay=3;response=relay on
1777892038.1850762,USB_RELAY,on,relay=3;response=3  >relay
1777892038.1997275,USB_RELAY,off,relay=3;response=off 3  >
1777892041.2041154,USB_RELAY,on,relay=3;response=relay on
1777892041.2153776,USB_RELAY,off,relay=3;response=3  >relay
1777892044.2173557,USB_RELAY,on,relay=3;response=off 3  >
1777892044.2309246,USB_RELAY,off,relay=3;response=relay on
1777892047.293712,STM_PIN,high,pin=7
1777892047.293712,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777892089.153457,STM_PIN,low,pin=7
1777892089.153457,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777892092.3253093,STM_PIN,high,pin=6
1777892092.3253093,POLARITY,heat,pin=6
1777892092.4637742,STM_PIN,high,pin=7
1777892092.4637742,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777892152.727747,STM_PIN,low,pin=7
1777892152.727747,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777892152.7843916,USB_RELAY,on,relay=3;response=3  >relay
1777892152.8000457,USB_RELAY,off,relay=3;response=off 3  >
1777892155.8049512,USB_RELAY,on,relay=3;response=relay on
1777892155.8159392,USB_RELAY,off,relay=3;response=3  >relay
1777892158.8172402,USB_RELAY,on,relay=3;response=off 3  >
1777892158.831129,USB_RELAY,off,relay=3;response=relay on
1777892161.8332782,USB_RELAY,on,relay=3;response=3  >relay
1777892161.8469324,USB_RELAY,off,relay=3;response=off 3  >
1777892164.8495328,USB_RELAY,on,relay=3;response=relay on
1777892164.8626513,USB_RELAY,off,relay=3;response=3  >relay
1777892167.8666046,USB_RELAY,on,relay=3;response=off 3  >
1777892167.878464,USB_RELAY,off,relay=3;response=relay on
1777892170.8797977,USB_RELAY,on,relay=3;response=3  >relay
1777892170.893726,USB_RELAY,off,relay=3;response=off 3  >
1777892174.0086498,STM_PIN,high,pin=7
1777892174.0086498,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777892185.4405394,STM_PIN,low,pin=7
1777892185.4405394,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777892188.5577588,STM_PIN,low,pin=6
1777892188.5577588,POLARITY,cool,pin=6
1777892188.6063159,STM_PIN,high,pin=7
1777892188.6063159,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777892495.6910346,STM_PIN,low,pin=7
1777892495.6910346,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777892495.7589371,USB_RELAY,on,relay=3;response=relay on
1777892495.7759783,USB_RELAY,off,relay=3;response=3  >relay
1777892498.777909,USB_RELAY,on,relay=3;response=off 3  >
1777892498.7924502,USB_RELAY,off,relay=3;response=relay on
1777892501.7943754,USB_RELAY,on,relay=3;response=3  >relay
1777892501.8080301,USB_RELAY,off,relay=3;response=off 3  >
1777892504.815036,USB_RELAY,on,relay=3;response=relay on
1777892504.8295295,USB_RELAY,off,relay=3;response=3  >relay
1777892507.8304212,USB_RELAY,on,relay=3;response=off 3  >
1777892507.8434038,USB_RELAY,off,relay=3;response=relay on
1777892510.8452163,USB_RELAY,on,relay=3;response=3  >relay
1777892510.859066,USB_RELAY,off,relay=3;response=off 3  >
1777892513.8627055,USB_RELAY,on,relay=3;response=relay on
1777892513.8736906,USB_RELAY,off,relay=3;response=3  >relay
1777892516.9660006,STM_PIN,high,pin=7
1777892516.9660006,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777892558.4972343,STM_PIN,low,pin=7
1777892558.4972343,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777892558.5565627,USB_RELAY,on,relay=3;response=off 3  >
1777892558.5668173,USB_RELAY,off,relay=3;response=relay on
1777892564.6452358,STM_PIN,high,pin=6
1777892564.6452358,POLARITY,heat,pin=6
1777892564.6687016,STM_PIN,high,pin=7
1777892564.6687016,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777892624.3343525,STM_PIN,low,pin=7
1777892624.3343525,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777892624.391611,USB_RELAY,on,relay=3;response=3  >relay
1777892624.402477,USB_RELAY,off,relay=3;response=off 3  >
1777892627.4041104,USB_RELAY,on,relay=3;response=relay on
