1777890168.4417734 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.85710
1777890168.6438315 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.76896
1777890168.8458037 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.72969
1777890169.0473757 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.64969
1777890169.2489183 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.57671
1777890169.4517224 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.47272
1777890169.6539247 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.37101
1777890169.8569503 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.47419
1777890170.060107 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.62123
1777890170.262448 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.11102
1777890170.46358 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.13913
1777890170.6655772 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.11655
1777890170.8672707 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.26830
1777890171.0689447 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.95097
1777890171.2713826 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.17389
1777890171.4733791 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.82667
1777890171.6759663 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.95393
1777890171.8787818 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.70232
1777890172.0798526 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.67612
