1778073114.4679708 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.26711
1778073114.6689613 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.37916
1778073114.8714838 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.37215
1778073115.072879 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.19243
1778073115.273891 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.11824
1778073115.4750195 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.12801
1778073115.6766615 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.17266
1778073115.878127 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=11.89851
1778073116.0801003 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=11.87606
1778073116.2820194 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=11.85539
1778073116.4830909 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=11.78067
1778073116.684714 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=11.84677
1778073116.885447 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=11.96240
1778073117.088391 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=11.88474
1778073117.289759 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=11.83740
1778073117.4906218 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=11.67008
1778073117.6915722 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=11.90767
1778073117.89343 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=11.53615
1778073118.095551 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=11.68301
1778073118.2971642 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=11.59226
1778073118.4986851 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=11.58111
1778073118.700812 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=11.49676
1778073118.9026544 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=11.46914
