P,V_out,T
24.768,0.005381345748901367,29.300124630705103
24.768,0.005381584167480469,29.300124630705103
24.768,0.005383849143981934,29.300124630705103
24.765,0.005383133888244629,29.208632215163277
24.765,0.005383133888244629,29.208632215163277
24.765,0.005383610725402832,29.208632215163277
24.765,0.005382895469665527,29.208632215163277
24.765,0.005381584167480469,29.208632215163277
24.765,0.005382657051086426,29.208632215163277
24.765,0.005383610725402832,28.878783523037253
24.765,0.005384683609008789,28.878783523037253
24.765,0.005385041236877441,28.878783523037253
24.765,0.005383729934692383,28.878783523037253
24.765,0.005383968353271484,28.878783523037253
24.765,0.005383491516113281,28.878783523037253
24.764,0.005384206771850586,28.386784014262112
24.764,0.005384325981140137,28.386784014262112
24.764,0.005383849143981934,28.386784014262112
24.764,0.0053844451904296875,28.386784014262112
24.764,0.005384087562561035,28.386784014262112
24.764,0.005383968353271484,28.386784014262112
24.761,0.005386233329772949,28.172823137062217
24.761,0.005385637283325195,28.172823137062217
24.761,0.005385637283325195,28.172823137062217
24.761,0.005385279655456543,28.172823137062217
24.761,0.005383968353271484,28.172823137062217
24.761,0.005383014678955078,28.172823137062217
24.762,0.0053855180740356445,28.04949796715727
24.762,0.0053865909576416016,28.04949796715727
24.762,0.005387067794799805,28.04949796715727
24.762,0.005386710166931152,28.04949796715727
24.762,0.005386710166931152,28.04949796715727
24.762,0.0053871870040893555,28.04949796715727
24.759,0.0053855180740356445,27.697502733075375
24.759,0.0053865909576416016,27.697502733075375
24.759,0.005386948585510254,27.697502733075375
24.759,0.005386948585510254,27.697502733075375
24.759,0.0053865909576416016,27.697502733075375
24.759,0.005388379096984863,27.697502733075375
24.76,0.005388021469116211,27.303676143967806
24.76,0.005388617515563965,27.303676143967806
24.76,0.005388975143432617,27.303676143967806
24.76,0.005387783050537109,27.303676143967806
24.76,0.005387425422668457,27.303676143967806
24.76,0.005387306213378906,27.303676143967806
24.758,0.0053882598876953125,27.209142449636445
24.758,0.0053893327713012695,27.209142449636445
24.758,0.005388855934143066,27.209142449636445
24.758,0.005388617515563965,27.209142449636445
24.758,0.005389094352722168,27.209142449636445
24.758,0.005389213562011719,27.209142449636445
24.756,0.005388736724853516,26.981168508859223
24.756,0.0053893327713012695,26.981168508859223
24.756,0.005389690399169922,26.981168508859223
24.756,0.0053910017013549805,26.981168508859223
24.756,0.0053904056549072266,26.981168508859223
24.756,0.005389809608459473,26.981168508859223
24.757,0.005393028259277344,26.591317710995007
24.757,0.005390048027038574,26.591317710995007
24.757,0.0053920745849609375,26.591317710995007
24.757,0.0053899288177490234,26.591317710995007
24.757,0.0053904056549072266,26.591317710995007
24.757,0.0053904056549072266,26.591317710995007
24.757,0.005391836166381836,26.57097578348954
24.757,0.005393028259277344,26.57097578348954
24.757,0.0053920745849609375,26.57097578348954
