1777896305.8122704 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.81139
1777896306.0143385 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.82653
1777896306.2152362 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.94436
1777896306.416699 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.59440
1777896306.6192718 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.58118
1777896306.8211436 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.35003
1777896307.0222359 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.59188
1777896307.2244837 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.57603
1777896307.426818 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.56790
1777896307.6281698 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.60956
1777896307.8297215 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.28876
1777896308.0309749 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.19158
1777896308.232079 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.25693
1777896308.4328916 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.35936
1777896308.6343396 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.18787
1777896308.835213 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.76456
1777896309.0421698 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.11904
1777896309.2433245 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.01895
1777896309.4442523 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.87375
1777896309.6454494 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.83305
1777896309.847605 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.65852
1777896310.0500958 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.67294
1777896310.250923 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.59298
1777896310.4520912 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.60715
1777896310.6543932 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.68554
1777896310.8563907 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.47312
1777896311.056964 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.57945
1777896311.258691 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.43263
1777896311.4597366 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.35737
1777896311.661656 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.26706
1777896311.8628342 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.30517
1777896312.064072 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.10683
1777896312.265098 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.19915
1777896312.4662127 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.19693
1777896312.6671188 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.92851
1777896312.8685539 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.05857
1777896313.0695126 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.83299
1777896313.2705398 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.98887
1777896313.4718573 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.95792
1777896313.6740322 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.83438
1777896313.8754785 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.79654
1777896314.077198 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.75173
1777896314.2783055 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.73777
1777896314.4899282 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.60641
1777896314.6907246 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.54861
1777896314.892205 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.41732
1777896315.094348 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.55017
1777896315.2962334 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.37940
1777896315.497422 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.39055
1777896315.7003336 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.24372
1777896315.9011874 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.16615
1777896316.102825 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.14073
1777896316.305087 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.16331
1777896316.507948 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.10927
1777896316.7094755 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.87167
1777896316.9132063 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.14745
1777896317.115407 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.02732
1777896317.3174021 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.91452
1777896317.51894 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.98360
1777896317.7212055 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.94873
1777896317.9227207 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.82118
1777896318.1238523 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.66072
1777896318.325504 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.70615
1777896318.528628 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.53958
1777896318.731174 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.53047
1777896318.9324205 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.40434
1777896319.1341906 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.52228
1777896319.3351164 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.29394
1777896319.5362566 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.45127
1777896319.7375352 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.31613
1777896319.94485 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.09651
1777896320.1467922 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.19849
1777896320.349082 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.33475
1777896320.5504797 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.50833
1777896320.7515876 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.01464
1777896320.9532828 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.05120
1777896321.1561012 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.95605
1777896321.3574038 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.99594
1777896321.559242 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.94785
1777896321.7612224 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.90704
1777896321.9640844 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.97328
1777896322.1669257 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.77395
1777896322.3678136 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.75298
1777896322.5878057 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.75432
1777896322.7934892 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.61983
1777896322.9950871 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.63548
1777896323.1963167 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.70089
1777896323.3971715 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.62423
1777896323.5987122 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.54161
