timestamp,source,action,details
1777898323.609799,STM_PIN,low,pin=7
1777898323.6107988,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777898326.7526414,STM_PIN,low,pin=6
1777898326.7536414,POLARITY,cool,pin=6
1777898326.8007221,STM_PIN,high,pin=7
1777898326.8007221,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777898642.716617,STM_PIN,low,pin=7
1777898642.7176192,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777898642.7799745,USB_RELAY,on,relay=3;response=relay on
1777898642.79153,USB_RELAY,off,relay=3;response=3  >relay
1777898645.7948236,USB_RELAY,on,relay=3;response=off 3  >
1777898645.805461,USB_RELAY,off,relay=3;response=relay on
1777898648.8082488,USB_RELAY,on,relay=3;response=3  >relay
1777898648.819009,USB_RELAY,off,relay=3;response=off 3  >
1777898651.8213966,USB_RELAY,on,relay=3;response=relay on
1777898651.832552,USB_RELAY,off,relay=3;response=3  >relay
1777898654.8357224,USB_RELAY,on,relay=3;response=off 3  >
1777898654.846345,USB_RELAY,off,relay=3;response=relay on
1777898657.8500614,USB_RELAY,on,relay=3;response=3  >relay
1777898657.861734,USB_RELAY,off,relay=3;response=off 3  >
1777898660.865082,USB_RELAY,on,relay=3;response=relay on
1777898660.8757906,USB_RELAY,off,relay=3;response=3  >relay
1777898663.9096155,STM_PIN,high,pin=7
1777898663.9108722,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777898712.0634162,STM_PIN,low,pin=7
1777898712.0644283,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777898712.1220458,USB_RELAY,on,relay=3;response=off 3  >
1777898712.132941,USB_RELAY,off,relay=3;response=relay on
1777898718.185046,STM_PIN,high,pin=6
1777898718.1860487,POLARITY,heat,pin=6
1777898718.2976875,STM_PIN,high,pin=7
1777898718.2989209,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777898778.5138652,STM_PIN,low,pin=7
1777898778.515377,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777898778.5756934,USB_RELAY,on,relay=3;response=3  >relay
1777898778.5878043,USB_RELAY,off,relay=3;response=off 3  >
1777898781.5915835,USB_RELAY,on,relay=3;response=relay on
1777898781.6046236,USB_RELAY,off,relay=3;response=3  >relay
1777898784.6093898,USB_RELAY,on,relay=3;response=off 3  >
1777898784.621432,USB_RELAY,off,relay=3;response=relay on
1777898787.623361,USB_RELAY,on,relay=3;response=3  >relay
1777898787.635494,USB_RELAY,off,relay=3;response=off 3  >
1777898790.640534,USB_RELAY,on,relay=3;response=relay on
1777898790.6521575,USB_RELAY,off,relay=3;response=3  >relay
1777898793.6565201,USB_RELAY,on,relay=3;response=off 3  >
1777898793.6675332,USB_RELAY,off,relay=3;response=relay on
1777898796.6730494,USB_RELAY,on,relay=3;response=3  >relay
1777898796.683973,USB_RELAY,off,relay=3;response=off 3  >
1777898799.6886477,USB_RELAY,on,relay=3;response=relay on
1777898799.69914,USB_RELAY,off,relay=3;response=3  >relay
1777898802.704,USB_RELAY,on,relay=3;response=off 3  >
1777898802.7171338,USB_RELAY,off,relay=3;response=relay on
1777898805.783116,STM_PIN,high,pin=7
1777898805.78512,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777898818.8171322,STM_PIN,low,pin=7
1777898818.8186522,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777898821.9614074,STM_PIN,low,pin=6
1777898821.9624088,POLARITY,cool,pin=6
1777898822.0159209,STM_PIN,high,pin=7
1777898822.0159209,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777899135.4886875,STM_PIN,low,pin=7
1777899135.4896884,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777899135.552665,USB_RELAY,on,relay=3;response=3  >relay
1777899135.5633934,USB_RELAY,off,relay=3;response=off 3  >
1777899138.5665805,USB_RELAY,on,relay=3;response=relay on
1777899138.5776265,USB_RELAY,off,relay=3;response=3  >relay
1777899141.5841799,USB_RELAY,on,relay=3;response=off 3  >
1777899141.5954962,USB_RELAY,off,relay=3;response=relay on
1777899144.59983,USB_RELAY,on,relay=3;response=3  >relay
1777899144.6115737,USB_RELAY,off,relay=3;response=off 3  >
1777899147.6145034,USB_RELAY,on,relay=3;response=relay on
1777899147.6257567,USB_RELAY,off,relay=3;response=3  >relay
1777899150.6291656,USB_RELAY,on,relay=3;response=off 3  >
1777899150.639713,USB_RELAY,off,relay=3;response=relay on
1777899153.6440642,USB_RELAY,on,relay=3;response=3  >relay
1777899153.6547146,USB_RELAY,off,relay=3;response=off 3  >
1777899156.6577337,USB_RELAY,on,relay=3;response=relay on
1777899156.6699717,USB_RELAY,off,relay=3;response=3  >relay
1777899159.6737614,USB_RELAY,on,relay=3;response=off 3  >
1777899159.6847901,USB_RELAY,off,relay=3;response=relay on
1777899162.6975281,USB_RELAY,on,relay=3;response=3  >relay
1777899162.709992,USB_RELAY,off,relay=3;response=off 3  >
1777899165.7690372,STM_PIN,high,pin=7
1777899165.7700343,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777899223.6039732,STM_PIN,low,pin=7
1777899223.6039732,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777899226.7579126,STM_PIN,high,pin=6
1777899226.7589211,POLARITY,heat,pin=6
1777899226.803923,STM_PIN,high,pin=7
1777899226.803923,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777899287.6385403,STM_PIN,low,pin=7
1777899287.6385403,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777899287.69475,USB_RELAY,on,relay=3;response=relay on
1777899287.7076347,USB_RELAY,off,relay=3;response=3  >relay
1777899290.7122045,USB_RELAY,on,relay=3;response=off 3  >
1777899290.723531,USB_RELAY,off,relay=3;response=relay on
1777899293.7253633,USB_RELAY,on,relay=3;response=3  >relay
1777899293.7365155,USB_RELAY,off,relay=3;response=off 3  >
1777899296.7395933,USB_RELAY,on,relay=3;response=relay on
1777899296.7499645,USB_RELAY,off,relay=3;response=3  >relay
1777899299.7524319,USB_RELAY,on,relay=3;response=off 3  >
1777899299.76469,USB_RELAY,off,relay=3;response=relay on
1777899302.7673972,USB_RELAY,on,relay=3;response=3  >relay
1777899302.778524,USB_RELAY,off,relay=3;response=off 3  >
1777899305.7813194,USB_RELAY,on,relay=3;response=relay on
1777899305.7930171,USB_RELAY,off,relay=3;response=3  >relay
1777899308.7955418,USB_RELAY,on,relay=3;response=off 3  >
1777899308.8069448,USB_RELAY,off,relay=3;response=relay on
1777899311.809264,USB_RELAY,on,relay=3;response=3  >relay
1777899311.823898,USB_RELAY,off,relay=3;response=off 3  >
1777899314.8272905,USB_RELAY,on,relay=3;response=relay on
1777899314.8383145,USB_RELAY,off,relay=3;response=3  >relay
1777899317.8421364,USB_RELAY,on,relay=3;response=off 3  >
1777899317.8539705,USB_RELAY,off,relay=3;response=relay on
1777899320.859687,USB_RELAY,on,relay=3;response=3  >relay
1777899320.8710546,USB_RELAY,off,relay=3;response=off 3  >
1777899323.8802025,USB_RELAY,on,relay=3;response=relay on
1777899323.8922677,USB_RELAY,off,relay=3;response=3  >relay
1777899326.9754746,STM_PIN,high,pin=7
1777899326.9759846,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777899342.8137336,STM_PIN,low,pin=7
1777899342.8147647,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777899345.9538982,STM_PIN,low,pin=6
1777899345.9538982,POLARITY,cool,pin=6
1777899346.008005,STM_PIN,high,pin=7
1777899346.0090082,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777899663.4770262,STM_PIN,low,pin=7
1777899663.4770262,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777899663.5433466,USB_RELAY,on,relay=3;response=off 3  >
1777899663.5541732,USB_RELAY,off,relay=3;response=relay on
1777899666.5551717,USB_RELAY,on,relay=3;response=3  >relay
1777899666.5681324,USB_RELAY,off,relay=3;response=off 3  >
1777899669.5709622,USB_RELAY,on,relay=3;response=relay on
1777899669.5823555,USB_RELAY,off,relay=3;response=3  >relay
1777899672.5856438,USB_RELAY,on,relay=3;response=off 3  >
1777899672.5968924,USB_RELAY,off,relay=3;response=relay on
1777899675.6013765,USB_RELAY,on,relay=3;response=3  >relay
1777899675.6124654,USB_RELAY,off,relay=3;response=off 3  >
1777899678.6161914,USB_RELAY,on,relay=3;response=relay on
1777899678.627742,USB_RELAY,off,relay=3;response=3  >relay
1777899681.6304636,USB_RELAY,on,relay=3;response=off 3  >
1777899681.6443274,USB_RELAY,off,relay=3;response=relay on
1777899684.6474442,USB_RELAY,on,relay=3;response=3  >relay
1777899684.6595187,USB_RELAY,off,relay=3;response=off 3  >
1777899687.6623716,USB_RELAY,on,relay=3;response=relay on
1777899687.6761985,USB_RELAY,off,relay=3;response=3  >relay
1777899690.6778033,USB_RELAY,on,relay=3;response=off 3  >
1777899690.6920795,USB_RELAY,off,relay=3;response=relay on
1777899693.6928654,USB_RELAY,on,relay=3;response=3  >relay
1777899693.705454,USB_RELAY,off,relay=3;response=off 3  >
1777899696.7086406,USB_RELAY,on,relay=3;response=relay on
1777899696.719813,USB_RELAY,off,relay=3;response=3  >relay
1777899699.7237382,USB_RELAY,on,relay=3;response=off 3  >
1777899699.7341855,USB_RELAY,off,relay=3;response=relay on
1777899702.736527,USB_RELAY,on,relay=3;response=3  >relay
1777899702.7486122,USB_RELAY,off,relay=3;response=off 3  >
1777899705.7527883,USB_RELAY,on,relay=3;response=relay on
1777899705.7646627,USB_RELAY,off,relay=3;response=3  >relay
1777899708.8107736,STM_PIN,high,pin=7
1777899708.8107736,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777899785.3800497,STM_PIN,low,pin=7
1777899785.3810613,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777899788.4946396,STM_PIN,high,pin=6
1777899788.4956398,POLARITY,heat,pin=6
1777899788.5489085,STM_PIN,high,pin=7
1777899788.549907,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777899849.7095175,STM_PIN,low,pin=7
1777899849.7105148,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777899849.7700393,USB_RELAY,on,relay=3;response=off 3  >
1777899849.781547,USB_RELAY,off,relay=3;response=relay on
1777899852.8146608,USB_RELAY,on,relay=3;response=3  >relay
1777899852.8271892,USB_RELAY,off,relay=3;response=off 3  >
1777899855.8291383,USB_RELAY,on,relay=3;response=relay on
1777899855.840132,USB_RELAY,off,relay=3;response=3  >relay
1777899858.844463,USB_RELAY,on,relay=3;response=off 3  >
1777899858.8559763,USB_RELAY,off,relay=3;response=relay on
1777899861.8600643,USB_RELAY,on,relay=3;response=3  >relay
1777899861.8726113,USB_RELAY,off,relay=3;response=off 3  >
1777899864.8759158,USB_RELAY,on,relay=3;response=relay on
1777899864.8867285,USB_RELAY,off,relay=3;response=3  >relay
1777899867.889864,USB_RELAY,on,relay=3;response=off 3  >
1777899867.9013638,USB_RELAY,off,relay=3;response=relay on
1777899870.9066222,USB_RELAY,on,relay=3;response=3  >relay
1777899870.9185867,USB_RELAY,off,relay=3;response=off 3  >
1777899873.9232755,USB_RELAY,on,relay=3;response=relay on
1777899873.9344802,USB_RELAY,off,relay=3;response=3  >relay
1777899876.9392977,USB_RELAY,on,relay=3;response=off 3  >
1777899876.9499917,USB_RELAY,off,relay=3;response=relay on
1777899879.9552243,USB_RELAY,on,relay=3;response=3  >relay
1777899879.9663079,USB_RELAY,off,relay=3;response=off 3  >
1777899882.9707394,USB_RELAY,on,relay=3;response=relay on
1777899882.982898,USB_RELAY,off,relay=3;response=3  >relay
1777899885.985783,USB_RELAY,on,relay=3;response=off 3  >
1777899885.9979923,USB_RELAY,off,relay=3;response=relay on
1777899889.0036414,USB_RELAY,on,relay=3;response=3  >relay
