1777626022.5136502 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=14.30391
1777626022.7172055 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.86684
1777626022.918493 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=14.08384
1777626023.119891 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=14.04994
1777626023.321316 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.70540
1777626023.52326 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=14.07923
1777626023.725643 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.86033
1777626023.9275174 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.89683
1777626024.1295888 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.60072
1777626024.3320007 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=14.01744
1777626024.533906 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.52707
1777626024.749369 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.88838
1777626024.9527164 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.70418
1777626025.1543741 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.67295
1777626025.3561308 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.61738
1777626025.5579224 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.40721
1777626025.7604625 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.21121
1777626025.9626052 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.16183
1777626026.1648848 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.30482
1777626026.3667822 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.08207
1777626026.5694876 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.19432
1777626026.7714505 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.27845
